,t,o,h,l,c,v
0,1546300800000,6.1139,6.1228,6.04,6.0425,107694.23
1,1546304400000,6.041,6.0504,5.9701,5.9821,75492.48
2,1546308000000,5.9822,6.0474,5.9,5.9351,110324.38
3,1546311600000,5.9317,5.9399,5.85,5.8648,85515.89
4,1546315200000,5.8601,5.9303,5.85,5.9175,83711.97
5,1546318800000,5.908,5.9375,5.9001,5.9343,22100.01
6,1546322400000,5.9337,5.9546,5.9237,5.9503,60346.84
7,1546326000000,5.9439,5.9707,5.94,5.9531,54203.82
8,1546329600000,5.9517,5.9696,5.9263,5.9368,69682.76
9,1546333200000,5.9342,5.9429,5.8808,5.8895,91499.85
10,1546336800000,5.8896,5.9466,5.8861,5.9439,27489.17
11,1546340400000,5.944,5.979,5.9393,5.9592,56851.64
12,1546344000000,5.9602,5.9646,5.9136,5.9527,41684.68
13,1546347600000,5.9465,5.9793,5.9286,5.9475,40334.98
14,1546351200000,5.9408,5.9457,5.8887,5.8948,33918.03
15,1546354800000,5.8942,5.8948,5.8,5.8307,68810.36
16,1546358400000,5.8353,5.8395,5.8001,5.8369,25082.52
17,1546362000000,5.8398,5.8815,5.8283,5.8453,24602.47
18,1546365600000,5.8457,5.8457,5.7735,5.8109,35445.3
19,1546369200000,5.8011,5.8625,5.801,5.854,39788.54
20,1546372800000,5.8514,5.9271,5.8413,5.9,69170.94
21,1546376400000,5.9041,5.9451,5.862,5.8926,52729.13
22,1546380000000,5.8928,5.9176,5.8536,5.9148,40377.54
23,1546383600000,5.9148,5.9939,5.9006,5.991,96056.65
24,1546387200000,5.991,6.0,5.9375,5.9473,50154.11
25,1546390800000,5.9388,5.9776,5.9264,5.9292,31274.69
26,1546394400000,5.9332,5.9862,5.9294,5.9749,39758.36
27,1546398000000,5.9754,5.9952,5.9445,5.9494,25521.68
28,1546401600000,5.9464,5.9559,5.9107,5.923,45701.73
29,1546405200000,5.925,5.925,5.8962,5.9103,42904.35
30,1546408800000,5.9119,5.9138,5.8528,5.8576,62831.35
31,1546412400000,5.8548,5.9132,5.8524,5.8941,140406.06
32,1546416000000,5.8935,5.935,5.8842,5.896,161949.28
33,1546419600000,5.8942,5.9018,5.8371,5.8653,81314.15
34,1546423200000,5.8666,5.9153,5.8564,5.9004,74642.56
35,1546426800000,5.9005,5.924,5.8763,5.897,127507.8
36,1546430400000,5.8955,5.9104,5.8757,5.9047,77985.52
37,1546434000000,5.9047,5.95,5.8971,5.93,145867.79
38,1546437600000,5.9301,5.9475,5.8902,5.9104,67587.02
39,1546441200000,5.9076,5.9181,5.891,5.9071,35135.15
40,1546444800000,5.906,6.0,5.897,5.9767,151112.96
41,1546448400000,5.9767,5.9848,5.9295,5.9395,99371.93
42,1546452000000,5.9391,5.9541,5.9113,5.9475,63549.47
43,1546455600000,5.9485,5.9742,5.9345,5.9647,83762.44
44,1546459200000,5.9646,6.0301,5.9357,6.0256,137993.05
45,1546462800000,6.023,6.0611,5.987,6.0459,163995.38
46,1546466400000,6.046,6.0754,6.0193,6.0597,76710.87
47,1546470000000,6.0608,6.0939,6.0346,6.051,143089.3
48,1546473600000,6.0445,6.062,5.9827,5.9963,86914.28
49,1546477200000,5.9987,6.0092,5.9663,5.97,50752.78
50,1546480800000,5.9699,6.0102,5.9664,5.9899,46927.02
51,1546484400000,5.9899,6.0062,5.983,5.9967,28182.28
52,1546488000000,5.9935,6.0,5.9755,5.9808,24739.27
53,1546491600000,5.9779,6.0,5.9612,5.9791,120393.09
54,1546495200000,5.9826,5.984,5.9618,5.9685,34761.16
55,1546498800000,5.9703,5.972,5.94,5.94,66384.62
56,1546502400000,5.94,5.9443,5.8861,5.8945,133399.71
57,1546506000000,5.8916,5.8927,5.85,5.8683,98742.72
58,1546509600000,5.8679,5.8815,5.8637,5.8711,40271.1
59,1546513200000,5.8736,5.8751,5.8,5.83,96226.93
60,1546516800000,5.8301,5.9108,5.8242,5.8982,59182.76
61,1546520400000,5.8983,5.93,5.8924,5.9094,48817.54
62,1546524000000,5.9057,5.916,5.87,5.8751,90051.04
63,1546527600000,5.8791,5.883,5.8409,5.8789,74179.8
64,1546531200000,5.8789,5.8844,5.7888,5.8047,88584.96
65,1546534800000,5.801,5.8124,5.7814,5.7937,62037.71
66,1546538400000,5.7899,5.8175,5.78,5.8149,39446.44
67,1546542000000,5.8149,5.82,5.7739,5.7925,62763.35
68,1546545600000,5.7926,5.8484,5.7849,5.8464,61028.85
69,1546549200000,5.846,5.8461,5.8033,5.8246,25136.73
70,1546552800000,5.8246,5.8383,5.8066,5.8198,17904.32
71,1546556400000,5.8221,5.8238,5.78,5.7979,67897.91
72,1546560000000,5.7947,5.798,5.7402,5.7596,50724.87
73,1546563600000,5.7602,5.8368,5.7602,5.8101,69737.48
74,1546567200000,5.8133,5.838,5.7887,5.83,82253.19
75,1546570800000,5.831,5.8977,5.831,5.8935,71096.31
76,1546574400000,5.8936,5.9349,5.8874,5.8939,162476.9
77,1546578000000,5.8928,5.9104,5.8713,5.8773,76697.49
78,1546581600000,5.8809,5.919,5.8679,5.8924,66951.04
79,1546585200000,5.8957,5.9155,5.8653,5.8659,61563.32
80,1546588800000,5.8665,5.8889,5.835,5.8463,91614.17
81,1546592400000,5.8467,5.8703,5.8245,5.8664,46104.5
82,1546596000000,5.8656,5.9232,5.8582,5.9185,72537.22
83,1546599600000,5.9186,5.9374,5.8881,5.8952,35764.16
84,1546603200000,5.8959,5.9198,5.8769,5.9149,55156.75
85,1546606800000,5.9152,5.9176,5.8854,5.892,27526.51
86,1546610400000,5.8937,5.949,5.8563,5.8707,163642.2
87,1546614000000,5.8714,5.928,5.84,5.9237,41093.0
88,1546617600000,5.9274,5.959,5.9139,5.9487,37232.69
89,1546621200000,5.9488,5.9629,5.9378,5.9488,47989.8
90,1546624800000,5.9487,5.9593,5.9347,5.9506,27063.22
91,1546628400000,5.9519,5.977,5.9413,5.9576,31912.54
92,1546632000000,5.9572,5.99,5.9263,5.9711,86610.11
93,1546635600000,5.968,5.986,5.9157,5.9178,118748.41
94,1546639200000,5.9151,5.9445,5.8827,5.9252,78730.42
95,1546642800000,5.9262,5.9762,5.9207,5.9692,54215.44
96,1546646400000,5.9688,6.045,5.9423,5.973,144895.32
97,1546650000000,5.9703,6.0317,5.9583,6.016,134836.83
98,1546653600000,6.016,6.0385,5.9668,5.9801,39843.67
99,1546657200000,5.9783,6.0,5.9697,5.9953,50312.65
100,1546660800000,5.9932,6.0283,5.9884,6.022,45668.7
101,1546664400000,6.0222,6.1043,6.0208,6.0978,87712.7
102,1546668000000,6.0938,6.0961,6.011,6.0201,73799.8
103,1546671600000,6.0172,6.0217,5.9737,5.9791,39875.31
104,1546675200000,5.979,6.0124,5.9788,6.0109,21190.08
105,1546678800000,6.0104,6.0128,5.9974,6.0078,21446.86
106,1546682400000,6.0038,6.0095,5.9719,5.9968,47989.0
107,1546686000000,5.994,6.041,5.994,6.0336,100519.5
108,1546689600000,6.0368,6.042,5.9923,6.0074,62503.25
109,1546693200000,6.0017,6.0215,5.9789,6.0183,64159.58
110,1546696800000,6.0206,6.04,6.0054,6.0236,55911.82
111,1546700400000,6.0181,6.0478,6.0002,6.0002,133627.54
112,1546704000000,6.0001,6.0092,5.9567,5.9802,115917.64
113,1546707600000,5.9802,6.02,5.9795,6.0061,61961.73
114,1546711200000,6.0061,6.0249,6.0,6.0046,59552.05
115,1546714800000,6.0053,6.0216,5.9949,6.0075,64979.69
116,1546718400000,6.0075,6.0189,5.9929,6.0112,32862.29
117,1546722000000,6.008,6.0215,6.0,6.0078,33302.38
118,1546725600000,6.0076,6.0096,5.9188,5.9693,81144.8
119,1546729200000,5.9664,5.9719,5.94,5.9625,62271.8
120,1546732800000,5.9626,5.9874,5.9548,5.9833,40198.16
121,1546736400000,5.9807,5.9897,5.9515,5.9707,42575.59
122,1546740000000,5.9718,5.9718,5.925,5.9456,51360.82
123,1546743600000,5.9427,5.9645,5.9296,5.9509,25827.79
124,1546747200000,5.9471,5.9575,5.9363,5.95,39974.96
125,1546750800000,5.9562,5.9942,5.9562,5.987,63317.31
126,1546754400000,5.986,5.9869,5.9771,5.9781,30607.85
127,1546758000000,5.9823,5.9824,5.9472,5.9717,73615.2
128,1546761600000,5.9687,5.9755,5.9607,5.9734,42968.98
129,1546765200000,5.9737,5.983,5.9654,5.9776,75527.88
130,1546768800000,5.9763,6.03,5.97,6.0071,171268.21
131,1546772400000,6.0107,6.066,6.0107,6.058,103290.16
132,1546776000000,6.058,6.0656,6.006,6.0139,116634.45
133,1546779600000,6.0122,6.033,6.0018,6.0242,84754.02
134,1546783200000,6.0212,6.0374,6.0144,6.031,86994.69
135,1546786800000,6.0309,6.0651,6.0276,6.0443,146055.51
136,1546790400000,6.046,6.1645,6.0444,6.1235,150213.5
137,1546794000000,6.123,6.299,6.1118,6.2098,443323.51
138,1546797600000,6.2152,6.26,6.1855,6.2227,207706.83
139,1546801200000,6.2207,6.296,6.2207,6.296,116391.41
140,1546804800000,6.2945,6.3888,6.1874,6.2002,182593.68
141,1546808400000,6.198,6.2559,6.19,6.2459,79366.08
142,1546812000000,6.2458,6.2652,6.2063,6.2099,55739.16
143,1546815600000,6.2086,6.2688,6.2084,6.2688,80995.52
144,1546819200000,6.2681,6.3094,6.2336,6.2502,82302.53
145,1546822800000,6.2525,6.2525,6.156,6.179,118286.49
146,1546826400000,6.1751,6.193,6.1602,6.1871,71241.22
147,1546830000000,6.1871,6.2285,6.1771,6.2238,29379.73
148,1546833600000,6.2239,6.2327,6.2201,6.2215,31651.38
149,1546837200000,6.2216,6.239,6.2014,6.2239,46295.69
150,1546840800000,6.2239,6.2248,6.2016,6.2034,67076.63
151,1546844400000,6.2025,6.2136,6.1871,6.2136,70017.69
152,1546848000000,6.2108,6.235,6.2011,6.2316,57151.39
153,1546851600000,6.2316,6.2341,6.0061,6.1521,248838.24
154,1546855200000,6.1528,6.2038,6.1243,6.1262,51843.35
155,1546858800000,6.1275,6.1644,6.1275,6.1604,33081.61
156,1546862400000,6.1604,6.1643,6.15,6.15,31539.75
157,1546866000000,6.1528,6.2251,6.15,6.2188,41247.02
158,1546869600000,6.2192,6.2514,6.2111,6.2143,73196.59
159,1546873200000,6.2126,6.2169,6.164,6.1743,63346.32
